"iso3","region","lon","lat","ols_residual","ols_deviation","gls_residual","gls_deviation","flipped"
"AGO","Africa",15.3012280778688,-8.34394903981547,0.631314666812252,"Larger than predicted",0.523215676634471,"Larger than predicted",FALSE
"BDI","Africa",29.9962426454593,-3.05410531545297,-0.198955069460307,"Smaller than predicted",-0.208244376706148,"Smaller than predicted",FALSE
"BEN","Africa",2.35913849160785,9.73418797278891,0.252386825096086,"Larger than predicted",0.156742807952611,"Larger than predicted",FALSE
"BFA","Africa",-1.59355680218843,11.9982512754553,-0.258864576958963,"Smaller than predicted",-0.30377002228165,"Smaller than predicted",FALSE
"BWA","Africa",24.5846756119534,-22.5234370598426,0.343592511180873,"Larger than predicted",0.28182417593024,"Larger than predicted",FALSE
"CAF","Africa",20.0807759202557,6.40133903497531,0.350244033874929,"Larger than predicted",0.282198726708966,"Larger than predicted",FALSE
"CIV","Africa",-4.48314208085149,6.57099455467145,0.100230718617851,"Larger than predicted",0.0141027184553337,"Larger than predicted",FALSE
"CMR","Africa",13.0138730539594,6.2606792647498,-0.00302173319324747,"Smaller than predicted",-0.0900762023824511,"Smaller than predicted",FALSE
"COD","Africa",23.7101367878405,-4.52494219062339,0.702765279198477,"Larger than predicted",0.608159303295245,"Larger than predicted",FALSE
"COG","Africa",14.3977239567429,-1.12112852213644,0.396310522684438,"Larger than predicted",0.304051347366729,"Larger than predicted",FALSE
"COM","Africa",43.8365604763939,-12.0527484076364,-0.304586089428967,"Smaller than predicted",-0.330987155669927,"Smaller than predicted",FALSE
"CPV","Africa",-23.9210316614499,16.0766465883062,-0.28957642986511,"Smaller than predicted",-0.284008290452588,"Smaller than predicted",FALSE
"DZA","Africa",1.78059546285196,29.2280776120975,0.383576064641188,"Larger than predicted",0.381278025292998,"Larger than predicted",FALSE
"ERI","Africa",39.7957514519919,15.6164549871286,0.106437791393342,"Larger than predicted",0.0265716757472312,"Larger than predicted",FALSE
"ETH","Africa",38.9589723245987,9.18770695127399,0.347391585962348,"Larger than predicted",0.276129374489406,"Larger than predicted",FALSE
"GAB","Africa",11.62220795832,-0.862762689700424,0.626172566928419,"Larger than predicted",0.534466790726951,"Larger than predicted",FALSE
"GHA","Africa",-1.05899270214699,8.32127239956834,-0.205117950333443,"Smaller than predicted",-0.276196394771034,"Smaller than predicted",FALSE
"GIN","Africa",-10.7177532390616,10.1163040988747,0.183900322549912,"Larger than predicted",0.0852322862641461,"Larger than predicted",FALSE
"GMB","Africa",-15.5084191152494,13.4292253468135,0.251455689054033,"Larger than predicted",0.168734020855617,"Larger than predicted",FALSE
"GNB","Africa",-15.7769900079308,11.4630574523526,-0.30564023037958,"Smaller than predicted",-0.351119443305794,"Smaller than predicted",FALSE
"GNQ","Africa",9.40180271940028,2.48846451906448,0.653512934339325,"Larger than predicted",0.553683415506221,"Larger than predicted",FALSE
"KEN","Africa",39.3145427262342,-0.707031606312807,-0.0210507693879723,"Smaller than predicted",-0.0784705372979104,"Smaller than predicted",FALSE
"LBR","Africa",-9.08566174404227,6.99058956379513,0.992749554674796,"Larger than predicted",1.04262909696184,"Larger than predicted",FALSE
"LSO","Africa",28.1996587778067,-29.6771357647784,0.3712929800554,"Larger than predicted",0.320529893778276,"Larger than predicted",FALSE
"MDG","Africa",48.3632534956429,-16.030085981886,-0.11054144674508,"Smaller than predicted",-0.202739651943346,"Smaller than predicted",FALSE
"MLI","Africa",-5.37822553095262,14.8470316934986,0.408690958492869,"Larger than predicted",0.309694779234679,"Larger than predicted",FALSE
"MOZ","Africa",34.8868176780726,-13.8032222200644,0.602202382836364,"Larger than predicted",0.555214784113637,"Larger than predicted",FALSE
"MRT","Africa",-13.9547555991255,19.7567502884819,-0.381909287453145,"Smaller than predicted",-0.439532267226999,"Smaller than predicted",FALSE
"MUS","Africa",57.5453125803094,-20.2973376826236,0.0620166640553193,"Larger than predicted",0.0690699572155253,"Larger than predicted",FALSE
"MWI","Africa",34.4566494311811,-12.2868438564954,-0.227954459024771,"Smaller than predicted",-0.265703371320281,"Smaller than predicted",FALSE
"NAM","Africa",18.1413867422875,-21.8204558595698,-0.314880501508873,"Smaller than predicted",-0.325435789904038,"Smaller than predicted",FALSE
"NER","Africa",6.37571959963032,15.3817034328685,-0.198208311733798,"Smaller than predicted",-0.27363458323577,"Smaller than predicted",FALSE
"NGA","Africa",7.50742608893151,6.54074516616949,0.439133219665551,"Larger than predicted",0.356876181029156,"Larger than predicted",FALSE
"RWA","Africa",29.9235468485269,-2.00196726494525,0.0526842931342542,"Larger than predicted",0.023200095225496,"Larger than predicted",FALSE
"SEN","Africa",-14.3806911672584,14.0332339172991,0.166839536374763,"Larger than predicted",0.113029444864262,"Larger than predicted",FALSE
"SLE","Africa",-12.2433717990744,8.07869620405394,0.209606854224993,"Larger than predicted",0.12909628669573,"Larger than predicted",FALSE
"SSD","Africa",30.3454697556291,7.91946699721681,0.679548469212123,"Larger than predicted",0.6037236097254,"Larger than predicted",FALSE
"STP","Africa",7.00145915349325,0.922211972127358,-0.701917576429281,"Smaller than predicted",-0.688879952681141,"Smaller than predicted",FALSE
"SWZ","Africa",31.5685778668052,-26.4595293245817,0.331869388187794,"Larger than predicted",0.250863193711859,"Larger than predicted",FALSE
"SYC","Africa",55.4819464683533,-4.67993175983429,-0.454703174906297,"Smaller than predicted",-0.464697220851644,"Smaller than predicted",FALSE
"TCD","Africa",18.9780794255103,12.7903988320393,0.248825535389555,"Larger than predicted",0.142318501803339,"Larger than predicted",FALSE
"TGO","Africa",0.70651854625764,8.76530810256502,-0.148100386960951,"Smaller than predicted",-0.205810492230615,"Smaller than predicted",FALSE
"TZA","Africa",38.3326330926894,-6.44396514269496,0.22161812555894,"Larger than predicted",0.148678229104005,"Larger than predicted",FALSE
"UGA","Africa",32.1278899722629,1.38492426552499,0.270134288713574,"Larger than predicted",0.221572776648028,"Larger than predicted",FALSE
"ZAF","Africa",30.093639158797,-34.9117691905504,0.791157192196427,"Larger than predicted",0.764654295342661,"Larger than predicted",FALSE
"ZMB","Africa",28.8129970945161,-12.5042960548907,0.238505950799256,"Larger than predicted",0.180174725793394,"Larger than predicted",FALSE
"ZWE","Africa",29.6405875262092,-19.1477854279911,0.0744261739130896,"Larger than predicted",-0.0539251423161771,"Smaller than predicted",TRUE
"ARG","Americas",-64.7660493399624,-46.0798333627169,-0.36486278453045,"Smaller than predicted",-0.288767467959346,"Smaller than predicted",FALSE
"ATG","Americas",-61.7617193857829,17.0729571978251,0.209463248928901,"Larger than predicted",0.209122045828657,"Larger than predicted",FALSE
"BHS","Americas",-75.5915543932309,23.8352950183594,-0.345581225504436,"Smaller than predicted",-0.351867328594269,"Smaller than predicted",FALSE
"BLZ","Americas",-88.1548480202966,17.5922658791779,-0.131556946653123,"Smaller than predicted",-0.147534791577892,"Smaller than predicted",FALSE
"BOL","Americas",-65.124395708148,-16.5572503673973,-0.557011485988115,"Smaller than predicted",-0.570098100803079,"Smaller than predicted",FALSE
"BRA","Americas",-47.7992905218678,-8.3073938320962,0.839349234262416,"Larger than predicted",0.884257372051122,"Larger than predicted",FALSE
"BRB","Americas",-59.5462676154243,13.1609972847833,-0.136968045164045,"Smaller than predicted",-0.10000028368894,"Smaller than predicted",FALSE
"CAN","Americas",-91.9674937987821,63.1882130991029,0.479221406156013,"Larger than predicted",0.612005848624012,"Larger than predicted",FALSE
"CHL","Americas",-74.2218110484677,-48.4429255278251,0.596290098062989,"Larger than predicted",0.677485810177425,"Larger than predicted",FALSE
"COL","Americas",-75.4217686118149,3.03232050847292,-0.523772039512141,"Smaller than predicted",-0.47463945952774,"Smaller than predicted",FALSE
"CRI","Americas",-84.0399375284525,9.75601683881946,0.39400916929703,"Larger than predicted",0.442834313909501,"Larger than predicted",FALSE
"CUB","Americas",-79.1382539308335,22.1501387259896,-1.09083102007181,"Smaller than predicted",-0.979634435635694,"Smaller than predicted",FALSE
"DOM","Americas",-70.5055794715881,18.8251788105283,0.128767435356872,"Larger than predicted",0.113400143788324,"Larger than predicted",FALSE
"ECU","Americas",-86.8152823239196,-0.823231174471111,-0.287422900278473,"Smaller than predicted",-0.252309568303573,"Smaller than predicted",FALSE
"GRD","Americas",-61.7031682332357,12.0985622406006,0.0579486564046893,"Larger than predicted",0.0424312611042268,"Larger than predicted",FALSE
"GTM","Americas",-90.199922909944,15.5853281518687,0.423657503064874,"Larger than predicted",0.416397147019596,"Larger than predicted",FALSE
"GUY","Americas",-58.8046701411337,4.37551941356593,0.795113346003548,"Larger than predicted",0.735132012763241,"Larger than predicted",FALSE
"HND","Americas",-86.1980536046453,15.8228738661628,-0.245601643066363,"Smaller than predicted",-0.223982421403511,"Smaller than predicted",FALSE
"HTI","Americas",-72.8460530935869,19.2334564610327,0.68663535020304,"Larger than predicted",0.592259425949373,"Larger than predicted",FALSE
"JAM","Americas",-77.2798380851746,18.1166504224141,-0.857755540479697,"Smaller than predicted",-0.84811637638102,"Smaller than predicted",FALSE
"LCA","Americas",-60.9675331115723,13.9114061355591,0.00817817487999055,"Larger than predicted",-0.0020207154929075,"Smaller than predicted",TRUE
"MEX","Americas",-107.202117206199,24.7894297171888,0.119183201822278,"Larger than predicted",0.101982651776561,"Larger than predicted",FALSE
"NIC","Americas",-84.818595235998,13.0755174268376,0.278528670105119,"Larger than predicted",0.336127741443834,"Larger than predicted",FALSE
