"region","Linear","ARIMA","ETS","range_across_methods"
"Americas",12.0123640413424,-0.781094498719572,9.77708841283401,12.7934585400619
"Africa",13.5459725102578,12.6546460248224,9.38380228731651,4.16217022294124
"Europe",13.5801541847863,13.0671537323695,9.44462364703891,4.13553053774737
"Eastern Mediterranean",13.8539975733342,12.8362196082354,9.85032206129105,4.00367551204318
"Western Pacific",11.5343086170027,11.0952809874492,11.5433225302936,0.448041542844392
"South-East Asia",12.8805109553167,12.5316337691597,12.6942080887039,0.348877186157017
