"iso3","region","residual","lon","lat"
"AGO","Africa",0.631314666812252,15.3012280778688,-8.34394903981547
"BDI","Africa",-0.198955069460307,29.9962426454593,-3.05410531545297
"BEN","Africa",0.252386825096086,2.35913849160785,9.73418797278891
"BFA","Africa",-0.258864576958963,-1.59355680218843,11.9982512754553
"BWA","Africa",0.343592511180873,24.5846756119534,-22.5234370598426
"CAF","Africa",0.350244033874929,20.0807759202557,6.40133903497531
"CIV","Africa",0.100230718617851,-4.48314208085149,6.57099455467145
"CMR","Africa",-0.00302173319324747,13.0138730539594,6.2606792647498
"COD","Africa",0.702765279198477,23.7101367878405,-4.52494219062339
"COG","Africa",0.396310522684438,14.3977239567429,-1.12112852213644
"COM","Africa",-0.304586089428967,43.8365604763939,-12.0527484076364
"CPV","Africa",-0.28957642986511,-23.9210316614499,16.0766465883062
"DZA","Africa",0.383576064641188,1.78059546285196,29.2280776120975
"ERI","Africa",0.106437791393342,39.7957514519919,15.6164549871286
"ETH","Africa",0.347391585962348,38.9589723245987,9.18770695127399
"GAB","Africa",0.626172566928419,11.62220795832,-0.862762689700424
"GHA","Africa",-0.205117950333443,-1.05899270214699,8.32127239956834
"GIN","Africa",0.183900322549912,-10.7177532390616,10.1163040988747
"GMB","Africa",0.251455689054033,-15.5084191152494,13.4292253468135
"GNB","Africa",-0.30564023037958,-15.7769900079308,11.4630574523526
"GNQ","Africa",0.653512934339325,9.40180271940028,2.48846451906448
"KEN","Africa",-0.0210507693879723,39.3145427262342,-0.707031606312807
"LBR","Africa",0.992749554674796,-9.08566174404227,6.99058956379513
"LSO","Africa",0.3712929800554,28.1996587778067,-29.6771357647784
"MDG","Africa",-0.11054144674508,48.3632534956429,-16.030085981886
"MLI","Africa",0.408690958492869,-5.37822553095262,14.8470316934986
"MOZ","Africa",0.602202382836364,34.8868176780726,-13.8032222200644
"MRT","Africa",-0.381909287453145,-13.9547555991255,19.7567502884819
"MUS","Africa",0.0620166640553193,57.5453125803094,-20.2973376826236
"MWI","Africa",-0.227954459024771,34.4566494311811,-12.2868438564954
"NAM","Africa",-0.314880501508873,18.1413867422875,-21.8204558595698
"NER","Africa",-0.198208311733798,6.37571959963032,15.3817034328685
"NGA","Africa",0.439133219665551,7.50742608893151,6.54074516616949
"RWA","Africa",0.0526842931342542,29.9235468485269,-2.00196726494525
"SEN","Africa",0.166839536374763,-14.3806911672584,14.0332339172991
"SLE","Africa",0.209606854224993,-12.2433717990744,8.07869620405394
"SSD","Africa",0.679548469212123,30.3454697556291,7.91946699721681
"STP","Africa",-0.701917576429281,7.00145915349325,0.922211972127358
"SWZ","Africa",0.331869388187794,31.5685778668052,-26.4595293245817
"SYC","Africa",-0.454703174906297,55.4819464683533,-4.67993175983429
"TCD","Africa",0.248825535389555,18.9780794255103,12.7903988320393
"TGO","Africa",-0.148100386960951,0.70651854625764,8.76530810256502
"TZA","Africa",0.22161812555894,38.3326330926894,-6.44396514269496
"UGA","Africa",0.270134288713574,32.1278899722629,1.38492426552499
"ZAF","Africa",0.791157192196427,30.093639158797,-34.9117691905504
"ZMB","Africa",0.238505950799256,28.8129970945161,-12.5042960548907
"ZWE","Africa",0.0744261739130896,29.6405875262092,-19.1477854279911
"ARG","Americas",-0.36486278453045,-64.7660493399624,-46.0798333627169
"ATG","Americas",0.209463248928901,-61.7617193857829,17.0729571978251
"BHS","Americas",-0.345581225504436,-75.5915543932309,23.8352950183594
"BLZ","Americas",-0.131556946653123,-88.1548480202966,17.5922658791779
"BOL","Americas",-0.557011485988115,-65.124395708148,-16.5572503673973
