"model","term","Estimate","Std. Error","t value","Pr(>|t|)","t-value"
"cross_sectional_latest_year","(Intercept)",-2.22204544087537,0.417593462811324,-5.3210733374898,3.04030126486342e-07,NA
"cross_sectional_latest_year","life_expectancy",0.157977557345473,0.00613975313489368,25.7302783800295,3.30767621089956e-62,NA
"cross_sectional_latest_year","health_exp_pct_gdp",0.0528019283425532,0.0144672040009835,3.64976731778744,0.000343757589673308,NA
"pooled_ols_all_years","(Intercept)",-1.47704700060369,0.0737616314661211,NA,4.93288690268075e-85,-20.0245977650603
"pooled_ols_all_years","life_expectancy",0.145830742466756,0.00110732684631578,NA,0,131.696204198384
"pooled_ols_all_years","health_exp_pct_gdp",0.0619378864774995,0.00361382443848878,NA,1.43731360420385e-63,17.1391520345688
"country_fixed_effects","life_expectancy",0.145394261730947,0.000952477330573173,NA,0,152.64852722894
"country_fixed_effects","health_exp_pct_gdp",0.0221305219850513,0.00212107776094072,NA,3.82299089742031e-25,10.4336212432099
