"tau","term","estimate","std_error","p_value"
0.1,"(Intercept)",-2.58320272548075,1.42190732830437,0.0709239033183882
0.1,"life_expectancy",0.155959082624859,0.0207445111538288,2.53153054075028e-12
0.1,"health_exp_pct_gdp",0.0175581704372941,0.0324506393194906,0.589126137252509
0.25,"(Intercept)",-2.45998729353486,1.06007995999377,0.021431332173234
0.25,"life_expectancy",0.158952365242561,0.015665283570275,0
0.25,"health_exp_pct_gdp",0.0242075891793655,0.03565036557228,0.497992413425442
0.5,"(Intercept)",-2.44811366670534,0.678063737815382,0.00039615442221419
0.5,"life_expectancy",0.16544164825869,0.0122219678645069,0
0.5,"health_exp_pct_gdp",0.0135149119937705,0.0365515019176094,0.71200354373716
0.75,"(Intercept)",-1.88304610179885,0.320536931399053,2.00780196912831e-08
0.75,"life_expectancy",0.158783840625206,0.00510299606572314,0
0.75,"health_exp_pct_gdp",0.0546440374371118,0.0169515299927237,0.00150336724494649
0.9,"(Intercept)",-1.35669446927221,0.378163160768642,0.000429982341038082
0.9,"life_expectancy",0.154646013997914,0.00560185132475509,0
0.9,"health_exp_pct_gdp",0.0542838404389415,0.0240405793291286,0.0251458379041667
